Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2016-06-08,46.214935302734375,46.570159515230216,46.063962386955005,46.19717358395436,21149400
2016-06-09,45.841949462890625,46.179415369919596,45.726503363611066,46.179415369919596,20305700
2016-06-10,45.717620849609375,46.2238180167439,45.32687316955692,45.33575233577782,25833200
2016-06-13,44.52760696411133,45.04268661879916,43.568497913856504,44.03029241497968,83217800
2016-06-14,44.25231170654297,44.49208644404355,44.02141274699954,44.31447602925816,42577100
2016-06-15,44.12797927856445,44.5098477647989,44.12797927856445,44.207905319583325,33757600
2016-06-16,44.749629974365234,44.82067685629285,43.96813121167042,43.97701376576226,31188600
2016-06-17,44.518733978271484,44.785153007671376,44.2434323948606,44.767391287351145,45710500
2016-06-20,44.46544647216797,45.140378257933136,44.429923033401046,44.97164361764106,35607900
2016-06-21,45.4600830078125,45.673220271297836,44.5453763998629,44.58089984172744,34097800
2016-06-22,45.282470703125,45.699859270833024,45.24694726272806,45.36239675016726,28816800
2016-06-23,46.09949493408203,46.23270615740481,45.42456642557853,45.54001253890934,29028800
2016-06-24,44.25231170654297,45.23806170432735,43.97701014330319,44.234549987524126,133503000
2016-06-27,43.00901412963867,43.64842239888183,42.66266911303235,43.60401641197237,50216300
2016-06-28,43.90596008300781,43.932604353454494,43.22214919503166,43.44416558511348,38140700
2016-06-29,44.88283157348633,45.04268363589297,44.22566160718112,44.32334935506307,31304000
2016-06-30,45.44230651855469,45.557755973243495,44.847304305352324,45.04267978441019,28527800
2016-07-01,45.433441162109375,45.9307591746192,45.35351511345068,45.40680027512374,21400400
2016-07-05,45.44230651855469,45.53999425808362,45.06044149957006,45.14036752393912,24806400
2016-07-06,45.62882614135742,45.77091654751627,44.74963942420404,45.09598457748484,28167500
2016-07-07,45.62882614135742,45.833080888479365,45.3535244973048,45.66434620212026,19585200
2016-07-08,46.44583511352539,46.499120274732135,45.77978584309901,45.93963793901749,28391000
2016-07-11,46.70337677001953,46.916514035323765,46.596809831218366,46.62345071899318,22269200
2016-07-12,47.25397491455078,47.42270956507503,46.88098894798476,47.01419676988615,27317600
2016-07-13,47.5203857421875,47.83121071503382,47.227325874436566,47.56479172952355,25356800
